iter	Passed	Remaining
420	2359	3245
421	2364	3239
422	2370	3233
423	2375	3226
424	2380	3220
425	2386	3215
426	2391	3209
427	2396	3203
428	2401	3196
429	2407	3191
430	2412	3184
431	2417	3178
432	2423	3172
433	2428	3167
434	2433	3160
435	2438	3154
436	2443	3148
437	2447	3140
438	2452	3134
439	2458	3128
440	2462	3121
441	2468	3116
442	2473	3110
443	2478	3103
444	2484	3098
445	2490	3093
446	2495	3087
447	2501	3081
448	2506	3075
449	2511	3069
450	2517	3064
451	2522	3058
452	2528	3053
453	2534	3047
454	2539	3041
455	2545	3036
456	2550	3030
457	2556	3025
458	2561	3019
459	2567	3014
460	2572	3008
461	2578	3002
462	2583	2996
463	2588	2989
464	2593	2984
465	2599	2978
466	2604	2972
467	2609	2966
468	2615	2961
469	2620	2955
470	2626	2949
471	2631	2943
472	2637	2938
473	2642	2932
474	2647	2926
475	2653	2921
476	2658	2915
477	2663	2908
478	2669	2903
479	2674	2897
480	2679	2891
481	2685	2885
482	2690	2880
483	2695	2873
484	2700	2867
485	2705	2861
486	2710	2855
487	2716	2850
488	2724	2847
489	2735	2846
490	2740	2841
491	2746	2835
492	2751	2829
493	2756	2823
494	2762	2818
495	2766	2811
496	2771	2805
497	2775	2797
498	2780	2791
499	2785	2785
500	2791	2780
501	2796	2774
502	2801	2767
503	2806	2761
504	2811	2755
505	2816	2749
506	2822	2744
507	2827	2738
508	2832	2731
509	2836	2725
510	2841	2719
511	2847	2713
512	2851	2707
513	2856	2700
514	2860	2693
515	2865	2687
516	2869	2681
517	2875	2675
518	2880	2669
519	2886	2664
520	2892	2659
521	2897	2653
522	2902	2647
523	2908	2641
524	2913	2636
525	2918	2630
526	2924	2624
527	2928	2618
528	2932	2611
529	2936	2604
530	2940	2597
531	2945	2590
532	2949	2584
533	2953	2577
534	2959	2572
535	2964	2565
536	2969	2560
537	2974	2554
538	2979	2548
539	2984	2541
540	2989	2536
541	2994	2530
542	2998	2523
543	3003	2517
544	3008	2511
545	3013	2505
546	3017	2498
547	3022	2493
548	3026	2486
549	3031	2480
550	3036	2474
551	3040	2467
552	3044	2460
553	3049	2454
554	3054	2449
555	3060	2443
556	3065	2438
557	3070	2432
558	3076	2427
559	3082	2422
560	3086	2415
561	3092	2410
562	3099	2405
563	3105	2400
564	3110	2395
565	3115	2388
566	3120	2383
567	3125	2377
568	3131	2372
569	3137	2366
570	3143	2361
571	3148	2356
572	3155	2351
573	3159	2344
574	3163	2338
575	3169	2332
576	3173	2326
577	3176	2319
578	3180	2312
579	3187	2308
580	3192	2302
581	3195	2295
582	3200	2289
583	3204	2282
584	3208	2276
585	3211	2269
586	3215	2262
587	3218	2255
588	3221	2248
589	3225	2241
590	3228	2234
591	3232	2228
592	3236	2221
593	3239	2214
594	3242	2207
595	3246	2200
596	3250	2194
597	3254	2187
598	3258	2181
599	3262	2174
600	3266	2168
601	3271	2162
602	3275	2156
603	3279	2150
604	3282	2143
605	3286	2137
606	3290	2130
607	3293	2123
608	3297	2116
609	3301	2110
610	3306	2104
611	3309	2098
612	3313	2091
613	3318	2086
614	3322	2079
615	3325	2073
616	3329	2067
617	3335	2061
618	3339	2055
619	3344	2049
620	3349	2043
621	3353	2037
622	3357	2031
623	3362	2025
624	3366	2019
625	3371	2014
626	3376	2008
627	3380	2002
628	3386	1997
629	3390	1991
630	3394	1985
631	3399	1979
632	3404	1973
633	3408	1967
634	3412	1961
635	3417	1956
636	3421	1949
637	3425	1943
638	3430	1937
639	3434	1931
640	3438	1925
641	3443	1919
642	3447	1913
643	3451	1907
644	3456	1902
645	3461	1896
646	3465	1890
647	3470	1885
648	3474	1879
649	3480	1874
650	3485	1868
651	3489	1862
652	3497	1858
653	3502	1853
654	3508	1847
655	3513	1842
656	3518	1837
657	3524	1831
658	3533	1828
659	3541	1824
660	3546	1818
661	3551	1813
662	3556	1807
663	3562	1802
664	3568	1797
665	3573	1792
666	3579	1786
667	3583	1781
668	3590	1776
669	3595	1770
670	3601	1765
671	3606	1760
672	3611	1754
673	3617	1749
674	3620	1743
675	3625	1737
676	3630	1732
677	3635	1726
678	3640	1720
679	3644	1714
680	3648	1708
681	3652	1703
682	3658	1697
683	3663	1692
684	3669	1687
685	3674	1682
686	3679	1676
687	3685	1671
688	3690	1665
689	3696	1660
690	3701	1655
691	3707	1650
692	3712	1644
693	3718	1639
694	3723	1634
695	3728	1628
696	3734	1623
697	3739	1617
698	3744	1612
699	3750	1607
700	3755	1601
701	3760	1596
702	3766	1591
703	3772	1586
704	3778	1580
705	3783	1575
706	3789	1570
707	3794	1564
708	3800	1559
709	3805	1554
710	3810	1548
711	3816	1543
712	3822	1538
713	3827	1533
714	3832	1527
715	3838	1522
716	3843	1516
717	3847	1511
718	3854	1506
719	3859	1500
720	3865	1495
721	3871	1490
722	3876	1485
723	3882	1479
724	3887	1474
725	3893	1469
726	3898	1464
727	3904	1458
728	3909	1453
729	3914	1447
730	3920	1442
731	3925	1437
732	3930	1431
733	3936	1426
734	3942	1421
735	3947	1415
736	3953	1410
737	3958	1405
738	3964	1400
739	3970	1395
740	3975	1389
741	3981	1384
742	3986	1378
743	3993	1374
744	4002	1370
745	4007	1364
746	4012	1358
747	4016	1353
748	4019	1347
749	4024	1341
750	4029	1335
751	4034	1330
752	4039	1324
753	4043	1319
754	4047	1313
755	4052	1307
756	4056	1302
757	4062	1296
758	4066	1291
759	4071	1285
760	4075	1279
761	4079	1274
762	4083	1268
763	4086	1262
764	4090	1256
765	4094	1250
766	4099	1245
767	4104	1239
768	4109	1234
769	4114	1228
770	4118	1223
771	4124	1218
772	4128	1212
773	4134	1207
774	4144	1203
775	4147	1197
776	4151	1191
777	4157	1186
778	4162	1180
779	4167	1175
780	4174	1170
781	4179	1165
782	4186	1160
783	4192	1154
784	4199	1150
785	4205	1144
786	4210	1139
787	4214	1133
788	4220	1128
789	4225	1123
790	4230	1117
791	4234	1111
792	4237	1106
793	4241	1100
794	4245	1094
795	4248	1088
796	4252	1083
797	4256	1077
798	4259	1071
799	4263	1065
800	4267	1060
801	4271	1054
802	4275	1048
